,Logistic_Regression
761,0.6748180121406301
762,0.5533705304216933
763,0.6458351402330897
764,0.5814394117827832
765,0.5918518784262093
766,0.5912495812364263
767,0.6878769252850347
768,0.7273671808006286
769,0.4839430496986066
770,0.4392804794121925
771,0.5905479359938249
772,0.5453924485267637
773,0.435828740618633
774,0.32247547480465877
775,0.20928026345619122
776,0.6687537854631321
777,0.22695297968834138
778,0.372518374860898
779,0.3542987187781476
780,0.31158673417165195
781,0.1613852787363216
782,0.4483302383205693
783,0.6585867658385225
784,0.43802973585963506
785,0.6679084032232044
786,0.6199716781281468
787,0.7932560587393588
788,0.6195132345981468
789,0.5103884962743054
790,0.6300310792120557
791,0.5835495159707931
792,0.5373402775367396
793,0.5727810546532027
794,0.6612507808990403
795,0.544274596341275
796,0.6634543270486778
797,0.5030396542291146
798,0.6558310742730868
799,0.6931974751741554
800,0.743452771130803
801,0.6965769184700374
802,0.5292696356391777
803,0.5681919532885624
804,0.6145140723034404
805,0.6333723629589347
806,0.6124889798556248
807,0.6503947727900524
808,0.7057581433354864
809,0.7582913790439483
810,0.41000404324226014
811,0.6096952000792829
812,0.5791814093234882
813,0.4280600919716773
814,0.5081993607900248
815,0.4585840414130688
816,0.4196309243510879
817,0.5503345420522895
818,0.27879897132728787
819,0.21700156599485504
820,0.6261349410421766
821,0.4596886796931606
822,0.42520641535204334
823,0.6355072603692627
824,0.6208918544941928
825,0.6216050901611149
826,0.7315190101888064
827,0.5006231660452374
828,0.661853357586205
829,0.6457199171999888
830,0.64351887675022
831,0.6085262605195404
832,0.5687482880778798
833,0.6055211058041083
834,0.6052202159629851
835,0.5481874393016257
836,0.6204959818394467
837,0.4248897216897352
838,0.6729237593016102
839,0.6964880725235747
840,0.6852986866644728
841,0.6389170953797483
842,0.6283429099471413
843,0.5605517527727539
844,0.632775532262576
845,0.50850899021446
846,0.583789969581447
847,0.6263406411430535
848,0.8018108722736157
849,0.5899159688687984
850,0.4771791847995562
851,0.4288534943887126
852,0.5328724705011953
853,0.6584462847878197
854,0.2974200339076688
855,0.08181297755556294
856,0.47362582822184957
857,0.6403337468789522
858,0.3533111744707973
859,0.35980179980616167
860,0.20828047251974824
861,0.3824337106118905
862,0.19327010263248048
863,0.5167986270156989
864,0.6637987963247532
865,0.25344181212429706
866,0.6357883789458577
867,0.5678525565256163
868,0.7027672713860618
869,0.538196455510423
870,0.6105045325709327
871,0.5943971924782614
872,0.5288889876533267
873,0.6474040715353886
874,0.5630495662847907
875,0.515764332152062
876,0.5600122208745691
877,0.49748419564801527
878,0.6837614321664257
879,0.5304948194685106
880,0.633935996952791
881,0.5917171085871146
882,0.6228971617913316
883,0.5459315339818505
884,0.5926946284459459
885,0.6059769337208728
886,0.5768177677767863
887,0.625876045500957
888,0.5895418087239113
889,0.7349625946554619
890,0.6792982678211689
891,0.3912237566954067
892,0.7454616254005789
893,0.4046300976891818
894,0.5179763853706942
895,0.540359351519488
896,0.3966759328175302
897,0.5495930585118598
898,0.22712335255661203
899,0.3594429799642984
900,0.1878261794786741
